bench,config,seed,W,H,cw,place_time_s,sys_place_core_s,sys_sta_s,route_wall_s,routed_ok,wl,cpd_ns,fmax_mhz,error
arm_core,full,0,35,35,148,0.0251,0.0141,0.0073,4.672663450241089,True,192216,18.1861,54.9871,
arm_core,full,1,35,35,148,0.0237,0.0128,0.0074,3.720836639404297,True,176498,18.1271,55.166,
arm_core,full,2,35,35,148,0.0237,0.0131,0.0071,3.519975185394287,True,176846,18.2651,54.7491,
arm_core,full,3,35,35,148,0.0242,0.0134,0.0073,3.720133066177368,True,181385,17.6909,56.5261,
arm_core,full,4,35,35,148,0.0243,0.0137,0.007,3.570253372192383,True,178491,18.1554,55.0799,
arm_core,full,5,35,35,148,0.0237,0.0132,0.007,3.8212592601776123,True,187435,18.1123,55.211,
arm_core,full,6,35,35,148,0.0233,0.0128,0.007,3.769883394241333,True,190698,18.1185,55.1921,
arm_core,full,7,35,35,148,0.0235,0.0129,0.0071,3.5197272300720215,True,182230,17.7349,56.3861,
arm_core,full,8,35,35,148,0.0238,0.013,0.0073,3.7703988552093506,True,185313,17.7499,56.3384,
arm_core,full,9,35,35,148,0.0241,0.0134,0.007,3.8209640979766846,True,184152,18.6379,53.6541,
arm_core,vtr_bb,0,35,35,148,3.1,,,3.319963216781616,True,156994,23.7173,42.1633,
arm_core,vtr_bb,1,35,35,148,3.12,,,3.269784688949585,True,160777,23.6309,42.3175,
arm_core,vtr_bb,2,35,35,148,3.16,,,3.370086193084717,True,162080,22.1389,45.1694,
arm_core,vtr_bb,3,35,35,148,3.06,,,3.3199479579925537,True,162747,23.0678,43.3504,
arm_core,vtr_bb,4,35,35,148,3.24,,,3.270009994506836,True,159931,23.1984,43.1063,
arm_core,vtr_bb,5,35,35,148,3.08,,,3.370307207107544,True,161366,22.2016,45.0419,
arm_core,vtr_bb,6,35,35,148,3.08,,,3.4201745986938477,True,162297,21.942,45.5746,
arm_core,vtr_bb,7,35,35,148,3.09,,,3.370347499847412,True,160808,21.9695,45.5176,
arm_core,vtr_bb,8,35,35,148,3.08,,,3.320885181427002,True,158613,22.4882,44.4678,
arm_core,vtr_bb,9,35,35,148,3.11,,,3.3198673725128174,True,158013,22.1285,45.1906,
bgm,full,0,35,35,64,0.009,0.0065,0.0019,1.2159414291381836,True,31261,8.61896,116.023,
bgm,full,1,35,35,64,0.0083,0.0059,0.0018,1.0154049396514893,True,32160,8.79045,113.76,
bgm,full,2,35,35,64,0.0078,0.0054,0.0018,1.0655560493469238,True,32569,8.83572,113.177,
bgm,full,3,35,35,64,0.0094,0.007,0.0018,1.06563401222229,True,31149,8.64385,115.689,
bgm,full,4,35,35,64,0.0096,0.0073,0.0018,1.0666956901550293,True,31485,8.49836,117.67,
bgm,full,5,35,35,64,0.0098,0.0074,0.0018,1.0663225650787354,True,30675,8.78381,113.846,
bgm,full,6,35,35,64,0.0086,0.0062,0.0019,1.0160117149353027,True,30835,8.93705,111.894,
bgm,full,7,35,35,64,0.0096,0.0072,0.0019,1.0160157680511475,True,30830,8.43963,118.489,
bgm,full,8,35,35,64,0.0093,0.0069,0.0019,1.066190242767334,True,30885,8.41807,118.792,
bgm,full,9,35,35,64,0.0099,0.0076,0.0018,1.0655641555786133,True,32015,8.49504,117.716,
bgm,vtr_bb,0,35,35,64,1.03,,,1.0660536289215088,True,29524,9.10956,109.775,
bgm,vtr_bb,1,35,35,64,1.01,,,1.0156543254852295,True,29211,8.76888,114.04,
bgm,vtr_bb,2,35,35,64,1.03,,,1.0156586170196533,True,30445,8.76445,114.097,
bgm,vtr_bb,3,35,35,64,1.03,,,1.0156517028808594,True,29472,9.03883,110.634,
bgm,vtr_bb,4,35,35,64,1.02,,,1.0659945011138916,True,29702,9.05986,110.377,
bgm,vtr_bb,5,35,35,64,1.03,,,1.0156078338623047,True,29641,8.68802,115.101,
bgm,vtr_bb,6,35,35,64,1.04,,,1.0155985355377197,True,29332,8.78602,113.817,
bgm,vtr_bb,7,35,35,64,1.04,,,1.0155994892120361,True,29219,8.74058,114.409,
bgm,vtr_bb,8,35,35,64,1.02,,,1.0159878730773926,True,29482,8.51607,117.425,
bgm,vtr_bb,9,35,35,64,1.06,,,1.0155911445617676,True,29416,9.08356,110.089,
blob_merge,full,0,35,35,92,0.0144,0.0108,0.0023,2.0170931816101074,True,65811,6.72613,148.674,
blob_merge,full,1,35,35,92,0.0139,0.0102,0.0023,1.7167301177978516,True,67810,5.98412,167.109,
blob_merge,full,2,35,35,92,0.0142,0.0104,0.0024,1.7174208164215088,True,66428,6.7051,149.14,
blob_merge,full,3,35,35,92,0.0146,0.0109,0.0024,1.7170236110687256,True,66950,6.29187,158.935,
blob_merge,full,4,35,35,92,0.0137,0.0102,0.0022,1.7164890766143799,True,66820,6.44289,155.21,
blob_merge,full,5,35,35,92,0.0152,0.0113,0.0026,1.7166228294372559,True,68315,6.56182,152.397,
blob_merge,full,6,35,35,92,0.0141,0.0104,0.0024,1.7170777320861816,True,66618,6.29809,158.778,
blob_merge,full,7,35,35,92,0.0136,0.0101,0.0023,1.7175178527832031,True,66884,5.7608,173.587,
blob_merge,full,8,35,35,92,0.0143,0.0107,0.0023,1.7667531967163086,True,70999,6.56403,152.345,
blob_merge,full,9,35,35,92,0.014,0.0103,0.0024,1.7169299125671387,True,65770,6.69624,149.338,
