bench,config,seed,W,H,cw,threads,place_time_s,sys_place_core_s,sys_sta_s,route_wall_s,routed_ok,wl,cpd_ns,fmax_mhz,error
spmv,soph,0,200,200,70,1,0.1968,0.1196,0.0732,27.416367769241333,True,244176,7.7658,128.77,
spmv,soph,1,200,200,70,1,0.2644,0.1657,0.0937,16.796370029449463,True,220389,8.72548,114.607,
spmv,soph,2,200,200,70,1,0.1978,0.121,0.0728,18.498063325881958,True,240938,7.72042,129.527,
spmv,soph,3,200,200,70,1,0.1615,0.1023,0.0556,19.558395385742188,True,251082,7.92337,126.209,
spmv,soph,4,200,200,70,1,0.1628,0.1004,0.0587,18.19773006439209,True,244853,8.06444,124.001,
spmv,soph,5,200,200,70,1,0.2951,0.1824,0.1076,16.644604682922363,True,217489,11.1528,89.6636,
spmv,soph,6,200,200,70,1,0.1595,0.1008,0.0551,19.25147294998169,True,248557,7.77124,128.68,
spmv,soph,7,200,200,70,1,0.1632,0.1026,0.0569,18.197434425354004,True,244764,8.74651,114.331,
spmv,soph,8,200,200,70,1,0.1657,0.1012,0.0608,19.3575656414032,True,256539,8.48209,117.895,
spmv,soph,9,200,200,70,1,0.194,0.1218,0.0681,18.398651361465454,True,246021,7.88131,126.882,
spmv,vtr,0,200,200,70,12,3.1,,,16.694112539291382,True,204944,6.81896,146.65,
spmv,vtr,1,200,200,70,12,2.98,,,16.99660325050354,True,205350,6.67014,149.922,
spmv,vtr,2,200,200,70,12,3.07,,,16.794811010360718,True,205581,6.82338,146.555,
spmv,vtr,3,200,200,70,12,3.08,,,16.846115350723267,True,203165,6.81785,146.674,
spmv,vtr,4,200,200,70,12,3.15,,,16.694066524505615,True,203718,6.55122,152.643,
spmv,vtr,5,200,200,70,12,3.04,,,16.646368980407715,True,201164,6.69892,149.278,
spmv,vtr,6,200,200,70,12,3.01,,,16.895231246948242,True,202209,6.55675,152.515,
spmv,vtr,7,200,200,70,12,3.1,,,16.744789123535156,True,202526,6.53019,153.135,
spmv,vtr,8,200,200,70,12,3.07,,,16.844966888427734,True,204598,6.67014,149.922,
spmv,vtr,9,200,200,70,12,3.1,,,16.646233558654785,True,203649,6.80567,146.936,
bwave_like.fixed.small,soph,0,200,200,136,1,0.2516,0.0959,0.1495,51.261417388916016,True,491140,11.8105,84.6707,
bwave_like.fixed.small,soph,1,200,200,136,1,0.2743,0.1058,0.1619,30.270854234695435,True,488393,11.7607,85.0293,
bwave_like.fixed.small,soph,2,200,200,136,1,0.2531,0.0956,0.1511,30.969951391220093,True,498942,11.9021,84.0189,
bwave_like.fixed.small,soph,3,200,200,136,1,0.1751,0.0694,0.1004,30.171191692352295,True,511012,11.9183,83.9044,
bwave_like.fixed.small,soph,4,200,200,136,1,0.2511,0.0961,0.1488,30.719136953353882,True,489612,11.6439,85.8816,
bwave_like.fixed.small,soph,5,200,200,136,1,0.2296,0.0937,0.13,30.36920976638794,True,494452,11.8774,84.1938,
bwave_like.fixed.small,soph,6,200,200,136,1,0.2529,0.0985,0.1483,30.6725652217865,True,488099,11.7345,85.2188,
bwave_like.fixed.small,soph,7,200,200,136,1,0.2538,0.0964,0.1512,30.670031547546387,True,488643,11.6368,85.9341,
bwave_like.fixed.small,soph,8,200,200,136,1,0.2305,0.0939,0.1307,30.421107530593872,True,495409,11.8962,84.0608,
bwave_like.fixed.small,soph,9,200,200,136,1,0.2045,0.0828,0.116,30.422982931137085,True,504073,11.8813,84.1658,
bwave_like.fixed.small,vtr,0,200,200,136,12,8.24,,,29.667437314987183,True,434142,10.7307,93.1909,
bwave_like.fixed.small,vtr,1,200,200,136,12,8.2,,,29.61851954460144,True,429633,11.447,87.3588,
bwave_like.fixed.small,vtr,2,200,200,136,12,8.45,,,29.319245100021362,True,428532,11.4371,87.4349,
bwave_like.fixed.small,vtr,3,200,200,136,12,8.48,,,29.769354343414307,True,425893,11.2617,88.7965,
bwave_like.fixed.small,vtr,4,200,200,136,12,8.56,,,29.519349575042725,True,425920,10.8762,91.9443,
bwave_like.fixed.small,vtr,5,200,200,136,12,8.48,,,29.619760990142822,True,433437,10.485,95.3748,
bwave_like.fixed.small,vtr,6,200,200,136,12,8.44,,,29.11923599243164,True,430456,10.7174,93.3064,
bwave_like.fixed.small,vtr,7,200,200,136,12,8.43,,,29.770846843719482,True,430416,10.8773,91.9349,
bwave_like.fixed.small,vtr,8,200,200,136,12,8.26,,,29.370312929153442,True,423868,10.5885,94.4422,
bwave_like.fixed.small,vtr,9,200,200,136,12,8.54,,,29.770522356033325,True,429532,10.9236,91.5446,
robot_rl,soph,0,200,200,102,1,0.3957,0.1932,0.1939,37.031617164611816,True,200951,9.82343,101.797,
robot_rl,soph,1,200,200,102,1,0.3917,0.1916,0.1917,22.504582405090332,True,207892,9.95896,100.412,
robot_rl,soph,2,200,200,102,1,0.3847,0.1912,0.1851,22.705041646957397,True,204900,9.82122,101.82,
robot_rl,soph,3,200,200,102,1,0.3762,0.1863,0.1816,22.55619168281555,True,203684,9.72806,102.795,
robot_rl,soph,4,200,200,102,1,0.3922,0.1909,0.1929,22.655938863754272,True,206290,9.82011,101.832,
robot_rl,soph,5,200,200,102,1,0.3928,0.1917,0.1926,22.35368299484253,True,200927,9.82817,101.748,
robot_rl,soph,6,200,200,102,1,0.3988,0.1905,0.1999,22.153138160705566,True,199978,10.2477,97.5826,
robot_rl,soph,7,200,200,102,1,0.3785,0.1914,0.1787,22.203991651535034,True,203733,9.72142,102.866,
robot_rl,soph,8,200,200,102,1,0.3882,0.1917,0.1882,22.605278491973877,True,199311,9.96228,100.379,
robot_rl,soph,9,200,200,102,1,0.3928,0.192,0.1921,22.605132341384888,True,210865,9.69043,103.195,
robot_rl,vtr,0,200,200,102,12,9.03,,,22.406534671783447,True,176858,9.94457,100.557,
robot_rl,vtr,1,200,200,102,12,9.1,,,22.404814958572388,True,174111,9.72806,102.795,
robot_rl,vtr,2,200,200,102,12,9.0,,,22.304054737091064,True,170480,9.41937,106.164,
robot_rl,vtr,3,200,200,102,12,9.06,,,22.154003381729126,True,169066,9.69043,103.195,
robot_rl,vtr,4,200,200,102,12,9.24,,,22.30515193939209,True,171357,9.56043,104.598,
robot_rl,vtr,5,200,200,102,12,9.12,,,22.305742979049683,True,173885,9.39803,106.405,
robot_rl,vtr,6,200,200,102,12,9.08,,,22.35544753074646,True,172978,9.42933,106.052,
robot_rl,vtr,7,200,200,102,12,9.23,,,22.306416034698486,True,168697,9.67905,103.316,
robot_rl,vtr,8,200,200,102,12,8.87,,,22.354966640472412,True,173931,9.84035,101.622,
robot_rl,vtr,9,200,200,102,12,9.35,,,22.05389928817749,True,177288,9.82675,101.763,
softmax,soph,0,200,200,82,1,0.2692,0.1234,0.139,30.571746349334717,True,172424,8.23152,121.484,
softmax,soph,1,200,200,82,1,0.3818,0.179,0.1946,19.200042724609375,True,170754,7.6954,129.948,
softmax,soph,2,200,200,82,1,0.3506,0.1588,0.1841,19.34996223449707,True,171954,8.14688,122.746,
softmax,soph,3,200,200,82,1,0.2247,0.1081,0.1105,19.299638509750366,True,171437,8.36152,119.596,
softmax,soph,4,200,200,82,1,0.2315,0.1105,0.115,19.299586296081543,True,171859,8.12744,123.04,
softmax,soph,5,200,200,82,1,0.3986,0.18,0.2103,19.299973964691162,True,171641,7.67945,130.218,
softmax,soph,6,200,200,82,1,0.2539,0.1145,0.1332,19.34986901283264,True,171876,8.2271,121.55,
softmax,soph,7,200,200,82,1,0.2947,0.1323,0.1556,19.350098133087158,True,170329,8.35045,119.754,
softmax,soph,8,200,200,82,1,0.3366,0.1549,0.1744,19.149816751480103,True,168243,7.94875,125.806,
softmax,soph,9,200,200,82,1,0.3925,0.1784,0.2061,19.199615240097046,True,170759,7.97199,125.439,
softmax,vtr,0,200,200,82,12,9.64,,,18.999698400497437,True,145239,7.05434,141.757,
softmax,vtr,1,200,200,82,12,9.82,,,19.09898066520691,True,144424,7.29054,137.164,
softmax,vtr,2,200,200,82,12,9.9,,,19.199586153030396,True,147190,7.05922,141.659,
softmax,vtr,3,200,200,82,12,9.69,,,19.199283361434937,True,146297,7.19486,138.988,
softmax,vtr,4,200,200,82,12,9.69,,,19.150081872940063,True,144685,7.19818,138.924,
softmax,vtr,5,200,200,82,12,9.66,,,19.00030517578125,True,145853,7.01114,142.63,
softmax,vtr,6,200,200,82,12,9.69,,,18.847837686538696,True,146529,6.86735,145.617,
softmax,vtr,7,200,200,82,12,9.67,,,19.099454164505005,True,144776,7.18257,139.226,
softmax,vtr,8,200,200,82,12,9.46,,,19.24942135810852,True,145253,7.10903,140.666,
softmax,vtr,9,200,200,82,12,9.85,,,18.69748067855835,True,148679,7.21587,138.583,
lenet,soph,0,200,200,130,1,0.2578,0.1244,0.1263,46.59887766838074,True,187346,9.73426,102.73,
lenet,soph,1,200,200,130,1,0.2831,0.1342,0.1415,26.613291025161743,True,184377,9.89252,101.086,
lenet,soph,2,200,200,130,1,0.2799,0.1331,0.1395,26.51234269142151,True,185200,9.90021,101.008,
lenet,soph,3,200,200,130,1,0.2516,0.1233,0.1212,26.612507343292236,True,185695,9.77094,102.344,
lenet,soph,4,200,200,130,1,0.2682,0.1331,0.1277,26.310813426971436,True,186413,9.86758,101.342,
lenet,soph,5,200,200,130,1,0.245,0.1228,0.1151,26.05837917327881,True,186391,9.87975,101.217,
lenet,soph,6,200,200,130,1,0.2131,0.1041,0.1023,26.35910129547119,True,186435,10.3031,97.0582,
lenet,soph,7,200,200,130,1,0.2843,0.1324,0.1445,26.60932683944702,True,188950,9.86027,101.417,
lenet,soph,8,200,200,130,1,0.2439,0.1209,0.1161,26.409698486328125,True,187929,10.1291,98.7253,
lenet,soph,9,200,200,130,1,0.3138,0.1523,0.1534,26.5629403591156,True,188538,9.86261,101.393,
lenet,vtr,0,200,200,130,12,7.99,,,26.210126638412476,True,168539,9.51134,105.138,
lenet,vtr,1,200,200,130,12,7.7,,,26.562482595443726,True,168805,9.11634,109.693,
lenet,vtr,2,200,200,130,12,7.66,,,26.561441659927368,True,166313,10.0336,99.6653,
lenet,vtr,3,200,200,130,12,7.62,,,26.16133451461792,True,166780,9.96547,100.346,
lenet,vtr,4,200,200,130,12,7.67,,,25.86192750930786,True,165164,10.3562,96.5607,
lenet,vtr,5,200,200,130,12,7.76,,,26.460033655166626,True,167173,9.26141,107.975,
lenet,vtr,6,200,200,130,12,7.71,,,26.112450122833252,True,165704,10.3209,96.8903,
lenet,vtr,7,200,200,130,12,7.54,,,26.4616117477417,True,165790,10.3692,96.4399,
lenet,vtr,8,200,200,130,12,7.61,,,26.661370277404785,True,167342,9.35262,106.922,
lenet,vtr,9,200,200,130,12,7.79,,,25.70684313774109,True,166145,10.1901,98.1349,
conv_layer_hls,soph,0,200,200,50,1,0.0612,0.0343,0.0248,18.895629167556763,True,145396,10.1794,98.238,
conv_layer_hls,soph,1,200,200,50,1,0.0614,0.0355,0.0237,13.140712022781372,True,144680,10.5992,94.3464,
conv_layer_hls,soph,2,200,200,50,1,0.0603,0.0337,0.0242,12.986989736557007,True,144506,10.1982,98.0567,
conv_layer_hls,soph,3,200,200,50,1,0.0599,0.0343,0.0234,12.836687326431274,True,145905,9.91422,100.865,
conv_layer_hls,soph,4,200,200,50,1,0.0621,0.0354,0.0244,12.637196779251099,True,145383,10.3284,96.8207,
conv_layer_hls,soph,5,200,200,50,1,0.0604,0.0332,0.025,12.687153816223145,True,144425,10.2999,97.0885,
conv_layer_hls,soph,6,200,200,50,1,0.0614,0.0333,0.0258,12.887615203857422,True,144695,10.1871,98.1632,
conv_layer_hls,soph,7,200,200,50,1,0.0635,0.0362,0.025,12.987386703491211,True,143577,10.2181,97.8655,
conv_layer_hls,soph,8,200,200,50,1,0.0632,0.0358,0.0252,12.888368368148804,True,144805,10.134,98.6777,
conv_layer_hls,soph,9,200,200,50,1,0.0337,0.0203,0.0117,12.635919332504272,True,149627,11.1236,89.8991,
conv_layer_hls,vtr,0,200,200,50,12,12.34,,,12.486140012741089,True,97879,12.6871,78.8201,
conv_layer_hls,vtr,1,200,200,50,12,12.06,,,12.38516640663147,True,98711,12.2302,81.7645,
conv_layer_hls,vtr,2,200,200,50,12,12.45,,,12.63601803779602,True,99248,11.6975,85.4887,
conv_layer_hls,vtr,3,200,200,50,12,12.32,,,12.684983015060425,True,98164,11.6919,85.5291,
conv_layer_hls,vtr,4,200,200,50,12,12.65,,,12.78478717803955,True,97999,11.7019,85.4563,
conv_layer_hls,vtr,5,200,200,50,12,11.95,,,12.637628078460693,True,98348,11.6831,85.594,
conv_layer_hls,vtr,6,200,200,50,12,12.25,,,12.687461137771606,True,97832,11.7213,85.3145,
conv_layer_hls,vtr,7,200,200,50,12,12.3,,,12.733741521835327,True,98701,12.2302,81.7645,
conv_layer_hls,vtr,8,200,200,50,12,12.52,,,12.736822366714478,True,97506,11.7213,85.3145,
conv_layer_hls,vtr,9,200,200,50,12,12.63,,,12.685321807861328,True,98329,11.6945,85.51,
bwave_like.fixed.large,soph,0,200,200,200,1,1.2367,0.2532,0.9609,181.4062933921814,True,2404994,13.7973,72.478,
bwave_like.fixed.large,soph,1,200,200,200,1,0.6453,0.1252,0.5025,207.8565697669983,True,2575083,13.1008,76.3311,
