bench,config,seed,W,H,cw,threads,place_time_s,sys_place_core_s,sys_sta_s,route_wall_s,routed_ok,wl,cpd_ns,fmax_mhz,error
arm_core,soph,0,35,35,148,1,0.2046,0.0183,0.1797,4.421639680862427,True,190365,19.0815,52.4067,
arm_core,soph,1,35,35,148,1,0.2169,0.0183,0.1919,3.4700262546539307,True,176998,18.5134,54.015,
arm_core,soph,2,35,35,148,1,0.238,0.0188,0.2124,3.7210171222686768,True,187365,19.0855,52.3959,
arm_core,soph,3,35,35,148,1,0.1767,0.0156,0.1552,3.7215449810028076,True,187295,18.8028,53.1836,
arm_core,soph,4,35,35,148,1,0.2217,0.0186,0.1963,3.9707977771759033,True,190295,19.091,52.3807,
arm_core,soph,5,35,35,148,1,0.2317,0.0188,0.2064,3.470000982284546,True,181251,19.3809,51.5973,
arm_core,soph,6,35,35,148,1,0.2201,0.019,0.1942,3.620242118835449,True,183540,18.9588,52.746,
arm_core,soph,7,35,35,148,1,0.2315,0.0187,0.2062,3.6203389167785645,True,179468,18.7978,53.1977,
arm_core,soph,8,35,35,148,1,0.2325,0.0188,0.207,3.5703399181365967,True,180497,19.0224,52.5696,
arm_core,soph,9,35,35,148,1,0.2234,0.0182,0.1987,3.7706568241119385,True,188597,19.372,51.6209,
arm_core,vtr,0,35,35,148,12,5.62,,,3.421104669570923,True,163662,19.0445,52.5085,
arm_core,vtr,1,35,35,148,12,5.84,,,3.371032476425171,True,165277,18.6939,53.4935,
arm_core,vtr,2,35,35,148,12,5.82,,,3.5202841758728027,True,165844,18.7949,53.206,
arm_core,vtr,3,35,35,148,12,5.89,,,3.420161724090576,True,165259,19.6597,50.8655,
arm_core,vtr,4,35,35,148,12,5.95,,,3.4201624393463135,True,164737,19.9418,50.1459,
arm_core,vtr,5,35,35,148,12,5.75,,,3.470679521560669,True,167268,19.2243,52.0175,
arm_core,vtr,6,35,35,148,12,5.78,,,3.5703585147857666,True,172438,19.0772,52.4187,
arm_core,vtr,7,35,35,148,12,5.96,,,3.670407772064209,True,173076,18.68,53.5332,
arm_core,vtr,8,35,35,148,12,5.9,,,3.6203603744506836,True,172735,19.3875,51.5796,
arm_core,vtr,9,35,35,148,12,5.84,,,3.4715476036071777,True,166048,19.2509,51.9457,
bgm,soph,0,35,35,64,1,0.0502,0.0096,0.0394,1.2158136367797852,True,31788,8.62827,115.898,
bgm,soph,1,35,35,64,1,0.0341,0.0072,0.0259,1.065633773803711,True,31619,8.56354,116.774,
bgm,soph,2,35,35,64,1,0.0438,0.0086,0.034,1.0159032344818115,True,32021,8.36615,119.529,
bgm,soph,3,35,35,64,1,0.0322,0.0069,0.0243,1.0659117698669434,True,31905,8.79156,113.745,
bgm,soph,4,35,35,64,1,0.0443,0.0087,0.0345,1.0157978534698486,True,32162,9.05606,110.423,
bgm,soph,5,35,35,64,1,0.0388,0.0076,0.0302,1.0656354427337646,True,32237,8.53424,117.175,
bgm,soph,6,35,35,64,1,0.0473,0.0089,0.0373,1.0656139850616455,True,32109,8.48619,117.839,
bgm,soph,7,35,35,64,1,0.0394,0.0081,0.0303,1.0155432224273682,True,31461,8.64385,115.689,
bgm,soph,8,35,35,64,1,0.0559,0.011,0.0436,1.0655066967010498,True,32050,8.40589,118.964,
bgm,soph,9,35,35,64,1,0.0511,0.0099,0.0399,1.0155155658721924,True,31597,8.52538,117.297,
bgm,vtr,0,35,35,64,12,1.71,,,1.0658409595489502,True,30703,8.79709,113.674,
bgm,vtr,1,35,35,64,12,1.69,,,1.0158238410949707,True,29706,8.80033,113.632,
bgm,vtr,2,35,35,64,12,1.72,,,1.0656940937042236,True,30670,8.69089,115.063,
bgm,vtr,3,35,35,64,12,1.74,,,1.0159547328948975,True,30341,8.77606,113.946,
bgm,vtr,4,35,35,64,12,1.76,,,1.0666720867156982,True,30279,8.635,115.808,
bgm,vtr,5,35,35,64,12,1.65,,,1.0160913467407227,True,29978,8.77109,114.011,
bgm,vtr,6,35,35,64,12,1.69,,,1.0656485557556152,True,29725,8.53424,117.175,
bgm,vtr,7,35,35,64,12,1.57,,,1.065603494644165,True,30723,8.79267,113.731,
bgm,vtr,8,35,35,64,12,1.77,,,1.0156440734863281,True,30250,8.79267,113.731,
bgm,vtr,9,35,35,64,12,1.77,,,1.0661306381225586,True,31272,8.7722,113.996,
blob_merge,soph,0,35,35,92,1,0.0755,0.0109,0.0621,2.06744647026062,True,70239,5.6534,176.885,
blob_merge,soph,1,35,35,92,1,0.0878,0.0127,0.0724,1.7668533325195312,True,71681,5.92999,168.634,
blob_merge,soph,2,35,35,92,1,0.053,0.0092,0.0417,1.7672607898712158,True,70845,5.80331,172.315,
blob_merge,soph,3,35,35,92,1,0.0566,0.0085,0.0459,1.7668430805206299,True,72660,5.66225,176.608,
blob_merge,soph,4,35,35,92,1,0.0957,0.0126,0.0805,1.7669587135314941,True,70708,5.79999,172.414,
blob_merge,soph,5,35,35,92,1,0.0486,0.0073,0.0392,1.7672336101531982,True,73847,6.08766,164.267,
blob_merge,soph,6,35,35,92,1,0.0556,0.0097,0.0437,1.7668046951293945,True,71478,5.78782,172.777,
blob_merge,soph,7,35,35,92,1,0.0684,0.0101,0.056,1.7672839164733887,True,69930,5.77343,173.207,
blob_merge,soph,8,35,35,92,1,0.0768,0.011,0.0635,1.7668840885162354,True,71031,6.00974,166.397,
blob_merge,soph,9,35,35,92,1,0.0601,0.0085,0.0494,1.8169353008270264,True,72108,5.86978,170.364,
blob_merge,vtr,0,35,35,92,12,2.46,,,1.7168419361114502,True,65219,5.92712,168.716,
blob_merge,vtr,1,35,35,92,12,2.32,,,1.7170295715332031,True,65993,5.84862,170.981,
blob_merge,vtr,2,35,35,92,12,2.4,,,1.7168707847595215,True,65166,5.8093,172.138,
blob_merge,vtr,3,35,35,92,12,2.22,,,1.7171785831451416,True,64195,6.07105,164.716,
blob_merge,vtr,4,35,35,92,12,2.43,,,1.7171311378479004,True,65250,5.83034,171.517,
blob_merge,vtr,5,35,35,92,12,2.29,,,1.7176294326782227,True,63982,5.98744,167.016,
blob_merge,vtr,6,35,35,92,12,2.39,,,1.716855525970459,True,64654,5.98412,167.109,
blob_merge,vtr,7,35,35,92,12,2.5,,,1.716820478439331,True,64959,5.95068,168.048,
blob_merge,vtr,8,35,35,92,12,2.62,,,1.7168333530426025,True,64231,6.25407,159.896,
blob_merge,vtr,9,35,35,92,12,2.39,,,1.7172915935516357,True,65065,6.08323,164.386,
digit_recognition_update_knn1,soph,0,35,35,76,1,0.1266,0.0142,0.1096,2.4182660579681396,True,75326,5.21204,191.863,
digit_recognition_update_knn1,soph,1,35,35,76,1,0.1204,0.0137,0.104,2.217832565307617,True,74394,5.34203,187.195,
digit_recognition_update_knn1,soph,2,35,35,76,1,0.1031,0.012,0.0885,2.2183644771575928,True,77714,5.26846,189.809,
digit_recognition_update_knn1,soph,3,35,35,76,1,0.1314,0.0138,0.1147,2.1675896644592285,True,77499,5.4842,182.342,
digit_recognition_update_knn1,soph,4,35,35,76,1,0.1361,0.0142,0.119,2.217878580093384,True,76276,5.18042,193.035,
digit_recognition_update_knn1,soph,5,35,35,76,1,0.0988,0.0109,0.0854,2.2682697772979736,True,78133,5.47203,182.748,
digit_recognition_update_knn1,soph,6,35,35,76,1,0.1195,0.0144,0.1021,2.167707681655884,True,76637,5.33871,187.311,
digit_recognition_update_knn1,soph,7,35,35,76,1,0.1315,0.014,0.1147,2.218268394470215,True,75039,5.34535,187.078,
digit_recognition_update_knn1,soph,8,35,35,76,1,0.1233,0.0142,0.1062,2.16776442527771,True,77271,5.26988,189.758,
digit_recognition_update_knn1,soph,9,35,35,76,1,0.1288,0.0144,0.1115,2.2177510261535645,True,74665,5.19322,192.559,
digit_recognition_update_knn1,vtr,0,35,35,76,12,2.97,,,2.2179057598114014,True,71449,5.1984,192.367,
digit_recognition_update_knn1,vtr,1,35,35,76,12,2.9,,,2.167602777481079,True,72934,5.26292,190.008,
digit_recognition_update_knn1,vtr,2,35,35,76,12,3.11,,,2.1677982807159424,True,72653,5.59258,178.808,
digit_recognition_update_knn1,vtr,3,35,35,76,12,3.1,,,2.1677188873291016,True,72695,5.34748,187.004,
digit_recognition_update_knn1,vtr,4,35,35,76,12,3.08,,,2.167527198791504,True,73008,5.34757,187.001,
digit_recognition_update_knn1,vtr,5,35,35,76,12,2.98,,,2.217703342437744,True,73545,5.2596,190.128,
digit_recognition_update_knn1,vtr,6,35,35,76,12,2.86,,,2.1676809787750244,True,72780,5.46848,182.866,
