bench,config,seed,W,H,cw,place_time_s,sys_place_core_s,sys_sta_s,route_wall_s,routed_ok,wl,cpd_ns,fmax_mhz,error
arm_core,full,0,35,35,148,0.0241,0.0137,0.007,4.671473503112793,True,192216,18.1861,54.9871,
arm_core,full,1,35,35,148,0.023,0.0125,0.0069,3.669753313064575,True,176498,18.1271,55.166,
arm_core,full,2,35,35,148,0.0231,0.0125,0.0073,3.469702959060669,True,176846,18.2651,54.7491,
arm_core,full,3,35,35,148,0.0233,0.0129,0.007,3.720261573791504,True,181385,17.6909,56.5261,
arm_core,full,4,35,35,148,0.0243,0.0139,0.0072,3.4697041511535645,True,178491,18.1554,55.0799,
arm_core,full,5,35,35,148,0.0238,0.0131,0.0073,3.720020055770874,True,187435,18.1123,55.211,
arm_core,full,6,35,35,148,0.0229,0.0126,0.0069,3.719890594482422,True,190698,18.1185,55.1921,
arm_core,full,7,35,35,148,0.0234,0.0127,0.0071,3.6201677322387695,True,182230,17.7349,56.3861,
arm_core,full,8,35,35,148,0.0228,0.0124,0.0071,3.77024507522583,True,185313,17.7499,56.3384,
arm_core,full,9,35,35,148,0.0237,0.0132,0.0071,3.7201554775238037,True,184152,18.6379,53.6541,
arm_core,vtr,0,35,35,148,5.64,,,3.420156478881836,True,163662,19.0445,52.5085,
arm_core,vtr,1,35,35,148,5.61,,,3.2691571712493896,True,165277,18.6939,53.4935,
arm_core,vtr,2,35,35,148,5.61,,,3.4198827743530273,True,165844,18.7949,53.206,
arm_core,vtr,3,35,35,148,5.75,,,3.3697469234466553,True,165259,19.6597,50.8655,
arm_core,vtr,4,35,35,148,5.75,,,3.269881010055542,True,164737,19.9418,50.1459,
arm_core,vtr,5,35,35,148,5.61,,,3.36940598487854,True,167268,19.2243,52.0175,
arm_core,vtr,6,35,35,148,5.6,,,3.4196529388427734,True,172438,19.0772,52.4187,
arm_core,vtr,7,35,35,148,5.82,,,3.5700204372406006,True,173076,18.68,53.5332,
arm_core,vtr,8,35,35,148,5.7,,,3.470109462738037,True,172735,19.3875,51.5796,
arm_core,vtr,9,35,35,148,5.65,,,3.419506549835205,True,166048,19.2509,51.9457,
