bench,seed,W,H,cw,sys_total_s,sys_place_core_s,sys_sta_s,sys_setup_wb_s,route_wall_s,routed_ok,wl,cpd_ns,fmax_mhz,error
arm_core,0,35,35,148,0.0238,0.0137,0.0074,0.0023,4.522380590438843,True,192216,18.1861,54.9871,
arm_core,1,35,35,148,0.0224,0.0126,0.0074,0.0021,4.221663236618042,True,176498,18.1271,55.166,
arm_core,2,35,35,148,0.023,0.0127,0.0077,0.0022,4.021531343460083,True,176846,18.2651,54.7491,
arm_core,3,35,35,148,0.0231,0.0131,0.0077,0.0021,4.121384143829346,True,181385,17.6909,56.5261,
arm_core,4,35,35,148,0.0235,0.0136,0.0074,0.0023,4.020911931991577,True,178491,18.1554,55.0799,
arm_core,5,35,35,148,0.0232,0.013,0.0077,0.0023,4.321798086166382,True,187435,18.1123,55.211,
arm_core,6,35,35,148,0.0228,0.0126,0.0077,0.0023,4.271503448486328,True,190698,18.1185,55.1921,
arm_core,7,35,35,148,0.0228,0.0129,0.0074,0.0021,4.1206700801849365,True,182230,17.7349,56.3861,
arm_core,8,35,35,148,0.023,0.0127,0.0079,0.0021,4.271667003631592,True,185313,17.7499,56.3384,
arm_core,9,35,35,148,0.023,0.0131,0.0074,0.0022,4.22182559967041,True,184152,18.6379,53.6541,
bgm,0,35,35,64,0.0089,0.0064,0.002,0.0005,1.1656851768493652,True,31261,8.61896,116.023,
bgm,1,35,35,64,0.0085,0.0058,0.0022,0.0005,1.1655724048614502,True,32160,8.79045,113.76,
bgm,2,35,35,64,0.0077,0.0053,0.002,0.0005,1.1656816005706787,True,32569,8.83572,113.177,
bgm,3,35,35,64,0.0093,0.0067,0.002,0.0005,1.1662824153900146,True,31149,8.64385,115.689,
bgm,4,35,35,64,0.0098,0.0071,0.0021,0.0005,1.1155047416687012,True,31485,8.49836,117.67,
bgm,5,35,35,64,0.0098,0.0072,0.002,0.0005,1.1663751602172852,True,30675,8.78381,113.846,
bgm,6,35,35,64,0.0084,0.0059,0.002,0.0005,1.1155102252960205,True,30835,8.93705,111.894,
bgm,7,35,35,64,0.0096,0.007,0.0021,0.0005,1.1657166481018066,True,30830,8.43963,118.489,
